City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp(Celsius)
68,esperance,-33.8667,121.9,291.48,68,99,10.5,AU,1667719224,18.379999999999995
69,tiarei,-17.5333,-149.3333,298.16,92,100,13.03,PF,1667719224,25.060000000000002
70,new norfolk,-42.7826,147.0587,296.43,27,91,0.89,AU,1667719225,23.329999999999984
71,catuday,16.2923,119.8062,301.84,68,5,3.43,PH,1667719225,28.739999999999952
72,hermanus,-34.4187,19.2345,294.15,69,4,5.12,ZA,1667719226,21.049999999999955
73,talnakh,69.4865,88.3972,266.9,96,100,4.39,RU,1667719226,-6.2000000000000455
74,cape town,-33.9258,18.4232,296.38,62,0,3.13,ZA,1667719226,23.279999999999973
75,geraldton,-28.7667,114.6,296.38,60,0,10.29,AU,1667719227,23.279999999999973
76,zeya,53.75,127.2667,267.94,82,23,0.32,RU,1667719227,-5.160000000000025
77,lebu,-37.6167,-73.65,282.69,92,12,2.78,CL,1667718934,9.589999999999975
78,constitucion,-35.3333,-72.4167,282.96,89,0,2.85,CL,1667719228,9.859999999999957
79,thompson,55.7435,-97.8558,270.11,93,100,3.84,CA,1667719228,-2.990000000000009
80,hofn,64.2539,-15.2082,278.3,81,100,6.63,IS,1667719228,5.199999999999989
81,tabas,33.5959,56.9244,294.27,35,0,1.03,IR,1667719002,21.16999999999996
82,shimoda,34.6667,138.95,291.35,69,66,3.61,JP,1667719008,18.25
83,kabinda,-6.1333,24.4833,293.68,91,100,1.36,CD,1667719040,20.579999999999984
84,presidencia roque saenz pena,-26.7852,-60.4388,288.55,59,1,2.76,AR,1667719230,15.449999999999989
85,katobu,-4.9408,122.5276,302.98,67,99,1.57,ID,1667719230,29.879999999999995
86,saskylakh,71.9167,114.0833,242.02,100,79,1.14,RU,1667719230,-31.080000000000013
87,carnarvon,-24.8667,113.6333,294.73,67,58,9.03,AU,1667719230,21.629999999999995
88,christchurch,-43.5333,172.6333,287.01,67,100,7.2,NZ,1667718936,13.909999999999968
89,tezu,27.9167,96.1667,300.93,35,0,1.48,IN,1667719231,27.829999999999984
90,jamestown,42.097,-79.2353,293.16,88,100,4.12,US,1667719232,20.060000000000002
91,brae,60.3964,-1.353,281.09,87,18,2.36,GB,1667719232,7.989999999999952
92,kapaa,22.0752,-159.319,299.33,83,75,7.72,US,1667719232,26.22999999999996
93,miami,25.7743,-80.1937,299.27,83,75,1.79,US,1667718981,26.16999999999996
94,leh,34.1667,77.5833,275.62,41,100,1.64,IN,1667719233,2.519999999999982
95,anjar,23.1333,70.0167,306.03,23,55,0.79,IN,1667718996,32.92999999999995
96,vila franca do campo,37.7167,-25.4333,287.15,82,94,1.49,PT,1667719234,14.049999999999955
97,lahat,-3.8,103.5333,300.42,87,100,0.59,ID,1667719234,27.319999999999993
98,mangai,-4.05,19.5333,294.85,94,100,1.04,CD,1667719021,21.75
99,suez,29.9737,32.5263,294.55,60,0,2.66,EG,1667719234,21.44999999999999
100,tiksi,71.6872,128.8694,257.26,90,100,7.49,RU,1667719235,-15.840000000000032
101,ribeira grande,38.5167,-28.7,290.37,82,75,2.57,PT,1667719235,17.269999999999982
102,bengkulu,-3.8004,102.2655,301.0,69,100,2.46,ID,1667719235,27.899999999999977
103,sola,-13.8833,167.55,300.29,71,6,2.83,VU,1667719236,27.189999999999998
104,ahtopol,42.1,27.95,290.39,79,100,1.92,BG,1667719236,17.289999999999964
105,saint-philippe,-21.3585,55.7679,299.92,76,50,3.21,RE,1667719237,26.819999999999993
106,ushuaia,-54.8,-68.3,279.96,93,0,2.57,AR,1667719237,6.859999999999957
107,georgetown,5.4112,100.3354,305.11,77,40,3.6,MY,1667719237,32.00999999999999
108,kamenka,51.3223,42.7678,275.74,72,100,2.59,RU,1667719238,2.6399999999999864
109,albany,42.6001,-73.9662,292.72,80,100,0.89,US,1667719005,19.620000000000005
110,kirakira,-10.4544,161.9205,300.29,83,89,0.31,SB,1667719029,27.189999999999998
111,hilo,19.7297,-155.09,296.83,89,75,3.09,US,1667719238,23.72999999999996
112,kalevala,65.2,31.1667,272.14,85,100,3.71,RU,1667719239,-0.9600000000000364
113,bambous virieux,-20.3428,57.7575,300.29,61,40,6.17,MU,1667719239,27.189999999999998
114,pevek,69.7008,170.3133,272.21,91,99,7.61,RU,1667719153,-0.8900000000000432
115,severo-yeniseyskiy,60.3725,93.0408,268.77,89,100,3.31,RU,1667719240,-4.330000000000041
116,gamba,-2.65,10.0,297.2,92,100,1.69,GA,1667719240,24.099999999999966
117,tasiilaq,65.6145,-37.6368,272.24,93,100,2.34,GL,1667719240,-0.8600000000000136
118,vila velha,-20.3297,-40.2925,293.12,82,0,1.79,BR,1667719241,20.019999999999982
119,natal,-5.795,-35.2094,298.27,83,40,3.09,BR,1667719241,25.16999999999996
120,nizwa,22.9333,57.5333,302.16,27,10,3.5,OM,1667719242,29.060000000000002
121,lixourion,38.2019,20.4314,288.15,94,75,4.63,GR,1667719242,15.049999999999955
122,camapua,-19.5314,-54.0439,290.02,49,0,3.02,BR,1667719242,16.91999999999996
123,sao filipe,14.8961,-24.4956,298.85,68,1,1.62,CV,1667719242,25.75
124,kasongo-lunda,-6.4667,16.8167,296.11,87,100,0.79,CD,1667719040,23.00999999999999
125,turan,16.0678,108.2208,302.14,61,20,6.17,VN,1667719175,29.039999999999964
126,kampong chhnang,12.1667,104.55,300.62,75,100,2.12,KH,1667719243,27.519999999999982
127,kavaratti,10.5669,72.642,300.34,78,100,3.5,IN,1667718958,27.239999999999952
128,warri,5.5167,5.75,299.59,83,100,0.83,NG,1667719244,26.489999999999952
129,kudahuvadhoo,2.6708,72.8944,300.53,77,91,4.95,MV,1667719245,27.42999999999995
130,iqaluit,63.7506,-68.5145,265.0,79,100,1.54,CA,1667719020,-8.100000000000023
131,lasa,46.6166,10.7002,277.64,45,91,0.79,IT,1667719245,4.539999999999964
132,saint anthony,45.0205,-93.218,277.62,85,40,3.09,US,1667719246,4.519999999999982
133,sisimiut,66.9395,-53.6735,264.94,78,22,4.74,GL,1667719246,-8.160000000000025
134,derzhavinsk,51.1,66.3167,273.26,60,24,5.83,KZ,1667719246,0.15999999999996817
135,kokkola,63.8385,23.1307,275.95,97,100,5.14,FI,1667719247,2.849999999999966
136,ankazoabo,-22.2833,44.5167,301.87,51,100,2.72,MG,1667719247,28.769999999999982
137,pochutla,15.7432,-96.4661,298.61,90,96,1.29,MX,1667719248,25.50999999999999
138,nome,64.5011,-165.4064,272.19,74,100,9.77,US,1667719248,-0.910000000000025
139,khatanga,71.9667,102.5,243.98,99,64,2.34,RU,1667719249,-29.120000000000033
140,aklavik,68.2191,-135.0107,260.59,75,100,6.96,CA,1667719249,-12.510000000000048
141,ostrovnoy,68.0531,39.5131,273.39,87,97,8.28,RU,1667719249,0.2899999999999636
142,norman wells,65.282,-126.8329,259.17,85,100,6.17,CA,1667719250,-13.930000000000007
143,harper,4.375,-7.7169,298.67,86,91,3.23,LR,1667719250,25.569999999999993
144,lago da pedra,-4.3333,-45.1667,296.08,92,92,0.76,BR,1667719250,22.97999999999996
145,araouane,18.9048,-3.5265,295.79,20,0,5.62,ML,1667719250,22.689999999999998
146,kodiak,57.79,-152.4072,270.88,59,0,3.6,US,1667719251,-2.2200000000000273
147,ngunguru,-35.6167,174.5,289.21,76,100,7.76,NZ,1667719251,16.109999999999957
